Station,Location,State,Year,ADT,rank
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2024,11904,48.0
CR 801,Kuantan-Karak,Pahang,2024,13411,44.0
CR 805,Kuantan-Maran,Pahang,2024,6724,67.0
CR 902,Kuantan-Segamat,Pahang,2024,9406,58.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2024,20790,28.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2024,7564,63.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2024,23327,24.0
JR 102,Batu Pahat-Muar,Johor,2024,26322,21.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2024,20290,30.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2024,11356,51.0
JR 204,Jalan Skudai,Johor,2024,101669,4.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2024,31654,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2024,14175,41.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2024,29715,18.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2024,23714,23.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2024,8081,61.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2024,4800,74.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2024,20287,31.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2024,6915,65.0
KR 202,Alor Star-Jitra,Kedah,2024,42998,12.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2024,14517,40.0
KR 501,Alor Setar-Sungai Petani,Kedah,2024,11819,50.0
MR 206,Jalan Melaka-Muar,Melaka,2024,15470,38.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2024,13045,46.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2024,21905,25.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2024,9515,57.0
NR 403,Seremban-Tampin,Negeri Sembilan,2024,13361,45.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2024,9603,56.0
NR 505,Seremban-Gemas,Negeri Sembilan,2024,51948,10.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2024,39000,13.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2024,31556,16.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2024,64007,7.0
RR 106,Kangar-Alor Star,Perlis,2024,21288,26.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2024,17390,36.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2024,24480,22.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2024,5322,71.0
TR 402,K. Terengganu-Marang,Terengganu,2024,35742,14.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2024,9293,59.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2024,82459,5.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2024,160061,1.0
HR 103,KK-Sepulut Highway,Sabah,2024,4177,76.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2024,4419,75.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2024,5475,70.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2024,4979,73.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2024,13668,43.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2024,11168,52.0
HR 504,Sg. Segama Crossing,Sabah,2024,6906,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2024,7956,62.0
HR 507,Kunak-Lahad Datu,Sabah,2024,9176,60.0
SR 101,Bau-Semantan,Sarawak,2024,4991,72.0
SR 103,Kuching-Serian,Sarawak,2024,51605,11.0
SR 401,Bintulu-Sibu,Sarawak,2024,7204,64.0
SR 402,Bintulu-Miri,Sarawak,2024,11931,47.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2024,10163,54.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2024,11895,49.0
SR 504,Lawas-Trusan,Sarawak,2024,10301,53.0
